instance, time, obj, bounds, iter23, iter24, chemin
700_USA-road-d.COL.gr,1111.3361339569092,39224.0,39224.0,0,9,2/ 38/ 46/ 83/ 130/ 239/ 261/ 311/ 317/ 389/ 407/ 601/ 608/ 621/ 646
1200_USA-road-d.BAY.gr,1080.182629108429,75619.03,75619.03,12,7,414/ 438/ 454/ 581/ 826/ 859/ 860/ 861/ 862/ 888/ 902/ 975/ 990/ 1018/ 1045/ 1046/ 1082/ 1097/ 1099/ 1115/ 1123/ 1159/ 1177
1800_USA-road-d.BAY.gr,1066.6519548892975,68740.75,68740.75,12,6,438/ 502/ 520/ 553/ 770/ 824/ 888/ 889/ 1013/ 1153/ 1158/ 1177/ 1215/ 1301/ 1328/ 1456/ 1487/ 1535/ 1579/ 1627/ 1776/ 1785/ 1788
2400_USA-road-d.NY.gr,607.8346259593964,60819.0,60819.0,0,0,731/ 1066/ 1230/ 1307/ 1325/ 1333/ 1394/ 1402/ 1570/ 1583/ 1584/ 1681/ 1702/ 1785/ 1946/ 1952/ 1954/ 1974/ 2061/ 2336/ 2353/ 2368/ 2369
700_USA-road-d.NY.gr,115.1352698802948,43329.05,43329.05,0,3,24/ 69/ 79/ 102/ 212/ 256/ 265/ 281/ 324/ 325/ 349/ 360/ 382/ 447/ 478/ 496/ 539/ 576/ 595/ 621
1200_USA-road-d.COL.gr,36.21579194068909,42766.5,42766.5,0,1,88/ 207/ 238/ 245/ 293/ 361/ 471/ 528/ 536/ 793/ 907/ 938/ 1000/ 1001/ 1053
1200_USA-road-d.NY.gr,48.45717978477478,72565.99,72565.99,2,2,359/ 360/ 442/ 477/ 478/ 578/ 585/ 697/ 722/ 855/ 866/ 875/ 906/ 910/ 938/ 1066/ 1070/ 1082/ 1095/ 1117/ 1144/ 1153
120_USA-road-d.BAY.gr,12.942207098007202,12218.98,12218.98,2,1,3/ 10/ 11/ 41/ 74/ 79/ 100/ 105
120_USA-road-d.COL.gr,6.7846519947052,25582.600000000002,25582.600000000002,2,3,5/ 26/ 29/ 30/ 49/ 59/ 76/ 81/ 83/ 93/ 106/ 117
120_USA-road-d.NY.gr,2.711668014526367,30613.08,30613.08,2,3,1/ 2/ 27/ 42/ 54/ 91/ 110/ 113/ 120
750_USA-road-d.BAY.gr,441.4706780910492,46226.950000000004,46226.950000000004,0,11,109/ 279/ 280/ 335/ 358/ 375/ 418/ 420/ 449/ 531/ 534/ 570/ 600/ 602/ 664/ 677/ 703/ 747
2500_USA-road-d.BAY.gr,671.5478348731995,71041.48999999999,71041.48999999999,10,5,424/ 438/ 502/ 516/ 563/ 658/ 771/ 826/ 1045/ 1332/ 1334/ 1476/ 1577/ 1719/ 1861/ 1864/ 1869/ 1915/ 2130/ 2172/ 2222/ 2283/ 2347/ 2405/ 2412
1800_USA-road-d.COL.gr,671.2744238376617,42505.7,42505.7,2,2,88/ 330/ 467/ 696/ 825/ 931/ 1001/ 1053/ 1290/ 1352/ 1533/ 1599/ 1601/ 1679/ 1708
1300_USA-road-d.BAY.gr,666.2769231796265,72986.64,72986.64,10,5,577/ 731/ 826/ 862/ 898/ 901/ 936/ 938/ 939/ 969/ 990/ 1018/ 1084/ 1097/ 1099/ 1153/ 1158/ 1170/ 1177/ 1266/ 1267/ 1273/ 1285/ 1288
1800_USA-road-d.NY.gr,306.14133381843567,69098.25,69098.25,0,2,360/ 442/ 507/ 697/ 866/ 875/ 906/ 923/ 1070/ 1082/ 1108/ 1109/ 1133/ 1176/ 1226/ 1240/ 1364/ 1451/ 1551/ 1554/ 1555/ 1723/ 1756/ 1785
180_USA-road-d.BAY.gr,34.5255389213562,13395.740000000002,13395.740000000002,2,1,74/ 79/ 100/ 103/ 115/ 121/ 123/ 138/ 159
750_USA-road-d.COL.gr,625.337474822998,38963.479999999996,38963.479999999996,0,8,8/ 83/ 110/ 161/ 349/ 389/ 469/ 547/ 551/ 601/ 666/ 699/ 711
